time,paid_in,best_net,best_gross,bitcoin
2021-07-29 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,13660.685695095526
2021-07-30 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,14408.262668303383
2021-07-31 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,14154.094212521504
2021-08-01 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,13702.296659346026
2021-08-02 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,13462.26315975275
2021-08-03 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,13138.785769404161
2021-08-04 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,13660.096797422919
2021-08-05 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,14051.83050627454
2021-08-06 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,14730.718007234562
2021-08-07 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,15327.516376768386
2021-08-08 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,15059.947894729672
2021-08-09 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,15905.468699165283
2021-08-10 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,15675.640449451856
2021-08-11 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,15650.199489268292
2021-08-12 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,15267.845823582065
2021-08-13 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16437.25663023571
2021-08-14 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16185.738749918431
2021-08-15 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16153.18023498693
2021-08-16 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,15784.398061373218
2021-08-17 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,15369.950069108616
2021-08-18 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,15373.161564825801
2021-08-19 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16079.872859515435
2021-08-20 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16960.74762429804
2021-08-21 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16788.619706094334
2021-08-22 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16932.122675855255
2021-08-23 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,17017.95625999667
2021-08-24 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16393.935822376174
2021-08-25 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16840.694762450607
2021-08-26 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16108.497807958222
